target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2228.59	40.6667	0.123461
Nep3-PB	2361	2228.59	40.6667	0.123461
Nep3-PC	2361	2228.59	40.6667	0.123461
CG9570-PA	633	500.595	0	0
Or19b-PA	1164	1031.59	0	0
CG15322-PB	2223	2090.59	1	0.00323632
CG15322-PC	2223	2090.59	1	0.00323632
Or19a-PB	1164	1031.59	0	0
karr-PA	294	162.755	1	0.0415708
fd19B-PA	783	650.595	0	0
CG17003-PA	864	731.595	0	0
CG12655-PA	468	335.595	2	0.0403215
CG33217-PA	2100	1967.59	296	1.01784
Vps11-PA	2493	2360.59	205.174	0.58806
RpL10-PC	657	524.595	6263.33	80.7799
RpL10-PD	657	524.595	6263.33	80.7799
RpL10-PE	657	524.595	6263.33	80.7799
G9a-PA	4914	4781.59	305	0.431568
G9a-PB	4974	4841.59	0	0
cin-PB	1806	1673.59	203	0.820668
cin-PA	1806	1673.59	203	0.820668
CG3777-PB	2640	2507.59	27.2	0.0733894
CG3777-PA	2640	2507.59	27.2	0.0733894
CG3777-PC	2640	2507.59	27.2	0.0733894
CG3777-PD	2640	2507.59	27.2	0.0733894
CG3777-PE	2640	2507.59	27.2	0.0733894
CG12470-PA	588	455.595	12	0.178207
Or1a-PA	1179	1046.59	2	0.0129292
y-PA	1626	1493.59	2	0.00905981
ac-PA	606	473.595	0	0
sc-PA	1038	905.595	0	0
l(1)sc-PA	774	641.595	0	0
ase-PA	1461	1328.59	0	0
CG13373-PA	375	242.65	0	0
CG13373-PB	534	401.595	78	1.3141
CG32817-PA	366	233.675	1.80769	0.0523401
CG32817-PC	366	233.675	1.80769	0.0523401
CG32817-PB	366	233.675	1.80769	0.0523401
CG3176-PA	366	233.675	20.7885	0.601912
CG3176-PB	306	174.536	0	0
CG3176-PC	306	174.536	0	0
CG3176-PD	366	233.675	20.7885	0.601912
CG3156-PA	2079	1946.59	79.0943	0.27491
CG17778-PA	384	251.65	0.5	0.0134429
CG17778-PB	384	251.65	0.5	0.0134429
arg-PA	1056	923.595	1	0.00732555
CG17896-PB	1563	1430.59	1025.13	4.84825
CG17896-PA	1536	1403.59	14.867	0.0716642
CG18273-PA	4134	4001.59	382	0.64588
Cyp4g1-PA	1671	1538.59	41	0.180294
Pgcl-PA	1224	1091.59	0	0
CG32816-PB	1137	1004.59	537.5	3.62001
CG32816-PA	1137	1004.59	537.5	3.62001
CG32816-PC	882	749.595	0	0
CG32816-PD	882	749.595	0	0
CG32816-PE	1137	1004.59	537.5	3.62001
CG32816-PF	1137	1004.59	537.5	3.62001
CG13375-PA	921	788.595	18.1286	0.155537
CG13375-PB	921	788.595	18.1286	0.155537
CG13375-PC	834	701.595	9.74278	0.0939546
CG3038-PB	1077	944.595	7.12055	0.0510023
CG3038-PA	1167	1034.59	27.8794	0.182321
CG3038-PC	1080	947.595	0	0
Appl-PA	2664	2531.59	0	0
Appl-PB	2673	2540.59	1.49911	0.00399228
Appl-PC	2493	2360.59	0	0
Appl-PD	2667	2534.59	0.750443	0.00200323
Appl-PE	2652	2519.59	0	0
Appl-PF	2667	2534.59	0.750443	0.00200323
CG13369-PA	915	782.595	1246	10.7722
CG17829-PA	1404	1271.59	105	0.558679
CG17829-PC	1347	1214.59	0	0
CG17829-PB	1404	1271.59	105	0.558679
Mybbp1A-PA	3402	3269.59	137	0.283497
su(sable)-PA	3978	3845.59	986.282	1.73524
su(sable)-PB	3966	3833.59	169.436	0.299035
su(sable)-PC	3978	3845.59	986.282	1.73524
CG13367-PA	1227	1094.59	274	1.69363
Roc1a-PC	411	278.623	2.09533	0.0508812
Roc1a-PA	327	195.148	723.452	25.0823
Roc1a-PD	327	195.148	723.452	25.0823
CG5254-PA	921	788.595	76.1927	0.653704
CG5254-PB	714	581.595	8.80729	0.102457
CG5273-PA	1410	1277.59	31	0.164169
CG5273-PC	1410	1277.59	31	0.164169
CG5273-PB	1410	1277.59	31	0.164169
fz3-PA	1746	1613.59	581.981	2.44026
fz3-PB	1941	1808.59	58.0377	0.217115
fz3-PC	1746	1613.59	581.981	2.44026
CG16989-PC	3138	3005.59	431.5	0.971342
CG16989-PD	3138	3005.59	431.5	0.971342
CG14635-PA	360	227.721	0	0
CG13358-PD	906	773.595	0	0
CG13359-PA	1482	1349.59	2	0.0100265
Rbf-PA	2538	2405.59	328	0.922514
CG13360-PA	1266	1133.59	10	0.0596848
RpL22-PA	900	767.595	14708.1	129.642
CG13361-PA	1437	1304.59	26	0.13484
CG13362-PA	969	836.595	235	1.90053
Hmt4-20-PA	3903	3770.59	405.5	0.727617
Hmt4-20-PB	3903	3770.59	405.5	0.727617
RpL36-PA	348	215.876	2389	74.8745
RpL36-PB	348	215.876	2389	74.8745
RpL36-PD	348	215.876	2389	74.8745
RpL36-PC	348	215.876	2389	74.8745
RpL36-PE	348	215.876	2389	74.8745
CG13364-PA	195	70.8496	1523	145.44
CG13365-PA	345	212.983	219	6.95699
spdi-PA	2853	2720.59	0	0
spdi-PB	3285	3152.59	286.937	0.6158
spdi-PC	3285	3152.59	286.937	0.6158
spdi-PD	2850	2717.59	28.1173	0.070002
spdi-PE	2853	2720.59	0	0
spdi-PF	3285	3152.59	286.937	0.6158
spdi-PG	2829	2696.59	90.0722	0.225994
CG14634-PB	282	150.958	0	0
CG11664-PA	765	632.595	6422	68.6857
CG11663-PA	459	326.595	0	0
CG11663-PB	459	326.595	0	0
MED22-PA	432	299.595	141	3.18425
CG32815-PC	1149	1016.59	10.5	0.0698817
CG32815-PD	1149	1016.59	10.5	0.0698817
TRAM-PB	1107	974.595	1868.8	12.9736
TRAM-PA	1107	974.595	1868.8	12.9736
TRAM-PC	1107	974.595	1868.8	12.9736
TRAM-PD	1107	974.595	1868.8	12.9736
TRAM-PE	1107	974.595	1868.8	12.9736
mus81-PA	1281	1148.59	30	0.176716
CG18823-PA	321	189.264	0	0
CG14631-PA	399	266.65	1	0.0253734
CG3021-PA	1170	1037.59	1055	6.87934
CG14629-PA	960	827.595	27	0.220733
CG14628-PA	426	293.595	1	0.0230448
CG3655-PA	1692	1559.59	8.08217	0.0350621
CG3655-PB	1692	1559.59	8.08217	0.0350621
CG3655-PC	1791	1658.59	16.7535	0.0683418
CG3655-PD	1692	1559.59	8.08217	0.0350621
Cdc45-PA	1728	1595.59	86	0.364668
CG11638-PA	1164	1031.59	13	0.0852621
TfIIA-S-2-PA	324	192.206	0	0
CG3690-PA	1677	1544.59	1.5	0.0065705
CG3690-PB	1677	1544.59	1.5	0.0065705
CG3699-PA	756	623.595	9	0.0976477
CG3703-PA	2136	2003.59	5	0.0168843
CG3704-PA	1149	1016.59	283	1.88348
CG3706-PA	1335	1202.59	1	0.00562604
CG3708-PB	1089	956.595	0	0
CG3713-PA	252	122.102	0	0
CG3713-PB	252	122.102	0	0
CG32814-PB	735	602.595	1	0.0112278
CG11378-PA	939	806.595	2.66667	0.0223684
CG11378-PB	939	806.595	2.66667	0.0223684
CG11378-PC	939	806.595	2.66667	0.0223684
CG11379-PA	606	473.595	0	0
CG11379-PB	606	473.595	0	0
CG14627-PA	813	680.595	0	0
CG14627-PB	813	680.595	0	0
CG14626-PA	1029	896.595	8	0.0603692
CG11380-PA	1710	1577.59	0	0
CG11380-PB	1710	1577.59	0	0
CG14625-PB	2271	2138.59	0	0
CG11381-PA	1311	1178.59	0	0
CG14624-PA	693	560.595	1	0.012069
CG11382-PB	1518	1385.59	0	0
CG11382-PC	1518	1385.59	0	0
CG32812-PA	678	545.595	4	0.0496034
CG32812-PB	678	545.595	4	0.0496034
fs(1)N-PA	6357	6224.59	1	0.00108695
Naa30A-PA	1134	1001.59	383.226	2.58872
Naa30A-PD	1077	944.595	8.77419	0.0628468
Tsp2A-PA	735	602.595	2	0.0224557
Tsp2A-PB	735	602.595	2	0.0224557
CG11417-PA	2316	2183.59	331	1.0256
CG14770-PA	456	323.595	3	0.0627251
ssx-PB	1332	1199.59	50.3567	0.284017
ssx-PC	504	371.595	43.7535	0.796646
ssx-PD	1458	1325.59	790.533	4.03488
ssx-PE	1332	1199.59	50.3567	0.284017
AMPKalpha-PA	1749	1616.59	239.333	1.00167
AMPKalpha-PB	1749	1616.59	239.333	1.00167
AMPKalpha-PC	1749	1616.59	239.333	1.00167
CG32813-PD	1719	1586.59	0	0
CG32813-PB	1719	1586.59	0	0
CG32813-PL	1719	1586.59	0	0
CG32813-PM	1719	1586.59	0	0
CG32813-PN	1719	1586.59	0	0
CG32813-PH	1746	1613.59	5.1588	0.021631
CG32813-PI	1719	1586.59	0	0
CG32813-PJ	1719	1586.59	0	0
CG32813-PK	1719	1586.59	0	0
CG32813-PO	2100	1967.59	309.841	1.06543
Rilpl-PA	1332	1199.59	166.752	0.940498
Rilpl-PB	1347	1214.59	8.31665	0.0463275
Rilpl-PC	1461	1328.59	213.931	1.08944
Lrpprc2-PA	3219	3086.59	389	0.852691
CG14785-PA	1413	1280.59	49	0.258885
CG3719-PA	483	350.595	322	6.21402
png-PA	876	743.595	2	0.0181977
CG12773-PA	2139	2006.59	399	1.34535
CG12773-PC	2139	2006.59	399	1.34535
CG12773-PB	2136	2003.59	0	0
MTPAP-PA	1839	1706.59	47	0.186333
MTPAP-PB	867	734.595	1.03576e-06	9.53963e-09
MTPAP-PC	1839	1706.59	47	0.186333
CG11409-PB	3840	3707.59	23.5	0.0428842
CG11409-PC	3840	3707.59	23.5	0.0428842
DAAM-PB	3462	3329.59	0	0
DAAM-PA	3345	3212.59	0	0
DAAM-PG	3462	3329.59	0	0
DAAM-PE	3462	3329.59	0	0
DAAM-PF	3462	3329.59	0	0
DAAM-PD	4392	4259.59	8	0.012707
CG32811-PB	234	105.193	0	0
Atf3-PA	1842	1709.59	0	0
Atf3-PB	2067	1934.59	158	0.552572
Atf3-PC	1842	1709.59	0	0
CG11403-PA	2586	2453.59	48	0.132361
CG11398-PA	990	857.595	7	0.0552253
CG11398-PD	990	857.595	7	0.0552253
CG11384-PA	1767	1634.59	1	0.00413915
eIF4E7-PA	1290	1157.59	0	0
CG14777-PB	591	458.595	42.8	0.631446
CG14777-PD	591	458.595	42.8	0.631446
