target_id	length	eff_length	est_counts	tpm
CG14777-PE	591	458.595	42.8	0.631446
CG14777-PC	591	458.595	42.8	0.631446
CG14777-PF	591	458.595	42.8	0.631446
CG14778-PA	561	428.595	18	0.28415
CG14780-PA	909	776.595	2	0.0174244
rush-PA	951	818.595	192	1.58692
rush-PB	951	818.595	192	1.58692
inc-PB	636	503.595	78	1.04794
inc-PD	636	503.595	78	1.04794
inc-PC	636	503.595	78	1.04794
dor-PA	3009	2876.59	1022	2.40378
hfw-PA	1836	1703.59	438	1.73952
hfw-PB	1836	1703.59	438	1.73952
CG14797-PB	591	458.595	2	0.0295068
CG14797-PC	666	533.595	0	0
b6-PA	1677	1544.59	20	0.0876067
Scgdelta-PA	1215	1082.59	4.5	0.0281234
Scgdelta-PC	1215	1082.59	4.5	0.0281234
Scgdelta-PD	1215	1082.59	4.5	0.0281234
Scgdelta-PE	1215	1082.59	4.5	0.0281234
CG3795-PA	918	785.595	0	0
CG3795-PB	918	785.595	0	0
a6-PA	1230	1097.59	55.3333	0.341088
a6-PB	1230	1097.59	55.3333	0.341088
a6-PC	1230	1097.59	55.3333	0.341088
CG3740-PA	423	290.595	350	8.14896
Mur2B-PA	5388	5255.59	34.1806	0.0440027
Mur2B-PC	5388	5255.59	34.1806	0.0440027
Mur2B-PB	3435	3302.59	628.639	1.28786
CG14795-PB	351	218.811	0	0
sta-PA	813	680.595	9610	95.5337
sta-PB	813	680.595	9610	95.5337
sta-PE	813	680.595	9610	95.5337
sta-PF	813	680.595	9610	95.5337
Rab27-PB	711	578.595	0	0
Rab27-PC	693	560.595	0	0
CG32808-PA	855	722.595	21	0.196628
O-fut2-PA	1473	1340.59	973	4.91063
CG14787-PA	783	650.595	0	0
CG32806-PA	618	485.595	0	0
MED18-PA	654	521.595	265.02	3.43769
MED18-PC	153	39.4014	29.9803	5.14809
CG14803-PA	3309	3176.59	176	0.374863
CG14803-PB	3294	3161.59	0	0
Vps26-PA	1437	1304.59	797	4.13337
CG14805-PA	1521	1388.59	320	1.55918
Coa8-PA	531	398.595	180.5	3.06385
Coa8-PB	531	398.595	180.5	3.06385
mRpL16-PA	732	599.595	107	1.20739
mRpL16-PB	732	599.595	107	1.20739
mip130-PA	2961	2828.59	441	1.05485
Rbcn-3B-PA	4578	4445.59	282	0.429181
Rbcn-3B-PB	4578	4445.59	282	0.429181
Ocrl-PA	2553	2420.59	140	0.391316
Ocrl-PB	2553	2420.59	140	0.391316
CG11596-PB	1206	1073.59	4.66315	0.0293873
CG11596-PC	1371	1238.59	90.6201	0.495013
CG11596-PA	1320	1187.59	215.39	1.2271
CG11596-PD	1206	1073.59	4.66315	0.0293873
CG11596-PE	1206	1073.59	4.66315	0.0293873
CG3587-PA	900	767.595	161	1.41911
CG4194-PA	795	662.595	26	0.265489
Rtca-PA	1086	953.595	88.5	0.627916
Rtca-PB	1086	953.595	88.5	0.627916
CG4045-PA	771	638.595	208	2.20374
CG4199-PC	1782	1649.59	34.5	0.141502
CG4199-PD	1782	1649.59	34.5	0.141502
CG4199-PB	1782	1649.59	34.5	0.141502
CG4199-PA	1659	1526.59	0	0
CG4199-PG	1782	1649.59	34.5	0.141502
CG4199-PH	1782	1649.59	34.5	0.141502
CG4199-PI	1782	1649.59	34.5	0.141502
CG14054-PA	618	485.595	1.67383	0.0233216
CG4281-PA	2091	1958.59	770	2.65992
Sik2-PA	4197	4064.59	224.245	0.373273
moody-PA	2013	1880.59	37.3058	0.134216
moody-PB	2013	1880.59	37.3058	0.134216
moody-PC	1902	1769.59	6.88834	0.0263368
moody-PD	1902	1769.59	6.88834	0.0263368
moody-PE	2013	1880.59	37.3058	0.134216
moody-PF	2013	1880.59	37.3058	0.134216
CG4325-PA	477	344.595	47.5	0.932625
CG4325-PB	477	344.595	47.5	0.932625
Actn-PC	2754	2621.59	208.101	0.53707
Actn-PB	2688	2555.59	94.6	0.25045
Actn-PA	2688	2555.59	0.562217	0.00148845
Actn-PD	2688	2555.59	94.6	0.25045
Actn-PF	2694	2561.59	91.2325	0.240969
Actn-PG	2754	2621.59	208.101	0.53707
Actn-PH	2754	2621.59	208.101	0.53707
Actn-PI	2688	2555.59	94.6	0.25045
Actn-PJ	2754	2621.59	208.101	0.53707
usp-PA	1527	1394.59	287	1.39237
usp-PB	1527	1394.59	287	1.39237
PIG-K-PA	1068	935.595	822	5.94437
CG3857-PA	1464	1331.59	82	0.416642
eIF2Bepsilon-PA	2010	1877.59	285.5	1.02879
eIF2Bepsilon-PB	2010	1877.59	285.5	1.02879
Edem1-PC	2949	2816.59	1045.21	2.51073
Edem1-PB	2949	2816.59	1045.21	2.51073
Edem1-PA	2949	2816.59	1045.21	2.51073
Edem1-PE	3015	2882.59	266.166	0.624728
Edem1-PD	2949	2816.59	1045.21	2.51073
CG32801-PA	477	344.595	5.61183	0.110184
trr-PC	7233	7100.59	450	0.428785
trr-PD	7296	7163.59	3.49519e-06	3.30112e-09
CG14818-PA	291	159.787	148	6.26675
CG14818-PB	291	159.787	148	6.26675
CG14817-PA	321	189.264	167	5.96996
CG14817-PB	321	189.264	167	5.96996
Pgam5-PA	870	737.595	440.112	4.03707
Pgam5-PB	867	734.595	115.888	1.06737
Pex5-PA	1845	1712.59	301.001	1.18915
Pex5-PB	1680	1547.59	105.999	0.463409
Gcna-PB	3159	3026.59	19	0.0424738
Gcna-PA	3093	2960.59	0	0
Gcna-PD	3093	2960.59	0	0
deltaCOP-PA	1599	1466.59	2591.24	11.9542
deltaCOP-PB	1596	1463.59	4520.76	20.8983
Lamtor5-PA	303	171.57	92.5	3.64772
Lamtor5-PB	303	171.57	92.5	3.64772
CG14811-PB	714	581.595	3	0.0348998
CG4025-PA	741	608.595	242	2.69035
Unc-76-PB	1425	1292.59	94.7126	0.495755
Unc-76-PA	1425	1292.59	94.7126	0.495755
Unc-76-PC	1425	1292.59	94.7126	0.495755
Unc-76-PD	870	737.595	11.8621	0.108809
csw-PA	2526	2393.59	481.614	1.36135
csw-PB	2838	2705.59	378.309	0.946033
csw-PC	2049	1916.59	22.6553	0.0799762
csw-PD	2685	2552.59	97.421	0.258222
D2hgdh-PB	1602	1469.59	176.333	0.811818
D2hgdh-PC	1602	1469.59	176.333	0.811818
D2hgdh-PA	1602	1469.59	176.333	0.811818
Pgd-PA	1446	1313.59	422.5	2.17614
Pgd-PB	1446	1313.59	422.5	2.17614
CG3630-PA	1116	983.595	13.6667	0.0940087
CG3630-PB	1044	911.595	0	0
CG3630-PC	1116	983.595	13.6667	0.0940087
CG3630-PD	1116	983.595	13.6667	0.0940087
ND-B14.5A-PA	312	180.429	331.5	12.4308
ND-B14.5A-PB	312	180.429	331.5	12.4308
Cyp4d2-PA	1506	1373.59	60.2078	0.296562
Cyp4d2-PB	1506	1373.59	60.2078	0.296562
Cyp4ae1-PA	1491	1358.59	26.8003	0.133466
pn-PA	1218	1085.59	90	0.560914
CG17776-PA	213	86.5071	143.5	11.2233
CG17776-PB	213	86.5071	143.5	11.2233
CG17777-PB	333	201.108	0	0
CG17777-PC	333	201.108	0	0
CG3457-PA	579	446.595	0	0
CG3457-PB	579	446.595	0	0
Mct1-PA	1881	1748.59	3.37653	0.0130648
Mct1-PB	1881	1748.59	3.37653	0.0130648
CG14052-PB	492	359.595	0	0
pcx-PE	10254	10121.6	0.000731361	4.88883e-07
pcx-PF	10242	10109.6	365.5	0.24461
pcx-PC	10242	10109.6	365.5	0.24461
fs(1)K10-PA	1392	1259.59	185	0.993717
Or2a-PA	1194	1061.59	1	0.00637328
CG3071-PA	1608	1475.59	196	0.898692
CG2854-PA	1476	1343.59	0	0
Raf-PA	2220	2087.59	116.5	0.377573
Raf-PE	2220	2087.59	116.5	0.377573
CG2841-PB	3705	3572.59	277	0.524587
CG2841-PC	3705	3572.59	277	0.524587
CG2841-PA	3705	3572.59	277	0.524587
CG2841-PD	3705	3572.59	277	0.524587
CG2841-PE	3705	3572.59	277	0.524587
CG2841-PF	3720	3587.59	0	0
mRpL14-PA	486	353.595	59	1.12893
mRpL14-PB	486	353.595	59	1.12893
Ilp6-PA	324	192.206	0	0
Ilp6-PB	324	192.206	0	0
Ilp6-PC	324	192.206	0	0
Ilp6-PD	324	192.206	0	0
CG14050-PA	780	647.595	3.5	0.0365668
CG14050-PB	780	647.595	3.5	0.0365668
CG2865-PA	1305	1172.59	245	1.41364
CG2865-PB	1305	1172.59	245	1.41364
CG2918-PA	2772	2639.59	20671.5	52.9854
CG2918-PB	2772	2639.59	20671.5	52.9854
CG2924-PA	1194	1061.59	105	0.669194
CG2924-PE	1194	1061.59	105	0.669194
CG2924-PB	1194	1061.59	105	0.669194
CG2924-PD	1194	1061.59	105	0.669194
temp-PA	1197	1064.59	35	0.222436
temp-PB	1197	1064.59	35	0.222436
CG3078-PA	2232	2099.59	0	0
CG3078-PB	2235	2102.59	0	0
CG3078-PC	2250	2117.59	0	0
CG3078-PD	2298	2165.59	0	0
CG3191-PA	930	797.595	24.5	0.207829
CG3191-PC	930	797.595	24.5	0.207829
crn-PA	2109	1976.59	438	1.49926
kz-PA	3579	3446.59	56.5	0.110912
kz-PB	3579	3446.59	56.5	0.110912
Vinc-PA	2886	2753.59	244	0.599531
Vinc-PB	2886	2753.59	244	0.599531
Vinc-PC	2886	2753.59	244	0.599531
FarO-PA	1515	1382.59	4	0.0195743
CG14053-PA	693	560.595	1	0.012069
CG14053-PB	693	560.595	1	0.012069
Nmd3-PA	1566	1433.59	450	2.12377
Cyp4d14-PA	1524	1391.59	5.36399	0.0260794
Cyp4d14-PB	1533	1400.59	0.0026658	1.28776e-05
Cyp4d1-PB	1512	1379.59	0	0
Cyp4d1-PA	1539	1406.59	0	0
wapl-PA	5226	5093.59	253.764	0.337076
wapl-PB	3279	3146.59	94.4718	0.203134
wapl-PC	5226	5093.59	253.764	0.337076
bcn92-PA	279	148.154	163	7.44382
ph-p-PA	4770	4637.59	519.985	0.758613
ph-p-PB	4041	3908.59	2.4763e-05	4.28652e-08
ph-p-PC	4041	3908.59	2.4763e-05	4.28652e-08
ph-p-PD	4041	3908.59	2.4763e-05	4.28652e-08
ph-d-PA	4614	4481.59	79.7902	0.120459
ph-d-PB	4080	3947.59	42.2242	0.0723687
CG16903-PA	1683	1550.59	473	2.06388
AANATL7-PA	687	554.595	3664.5	44.7055
AANATL7-PB	687	554.595	3664.5	44.7055
AANATL7-PC	687	554.595	3664.5	44.7055
AANATL7-PD	687	554.595	3664.5	44.7055
wds-PA	1086	953.595	128.5	0.911719
wds-PB	1086	953.595	128.5	0.911719
egh-PC	1374	1241.59	189.333	1.03174
egh-PB	1374	1241.59	189.333	1.03174
egh-PD	1374	1241.59	189.333	1.03174
Seipin-PA	1113	980.595	51	0.351886
brv3-PC	2253	2120.59	65	0.207385
brv3-PB	2160	2027.59	0	0
Tsp3A-PA	915	782.595	12.5	0.108067
Tsp3A-PB	915	782.595	12.5	0.108067
eIF3g1-PA	810	677.595	2770	27.6587
Smyd3-PB	1407	1274.59	187	0.992639
Klp3A-PA	3639	3506.59	30	0.0578839
Klp3A-PB	3639	3506.59	30	0.0578839
CG13760-PC	723	590.595	91.4337	1.04746
CG13760-PD	669	536.595	132.566	1.67151
Vha36-3-PB	750	617.595	84.571	0.926487
Vha36-3-PC	750	617.595	84.571	0.926487
boi-PB	2997	2864.59	0	0
boi-PA	1644	1511.59	26.3752	0.118054
boi-PE	2997	2864.59	0	0
boi-PF	2997	2864.59	0	0
boi-PG	3318	3185.59	1.62484	0.00345098
tko-PB	423	290.595	206	4.79625
tko-PC	465	332.595	0	0
gt-PB	1347	1214.59	4	0.0222818
CG32797-PA	609	476.595	0	0
CG12496-PA	1062	929.595	0	0
sgg-PD	3204	3071.59	317.892	0.700224
sgg-PH	1545	1412.59	120.647	0.577855
sgg-PI	1545	1412.59	120.647	0.577855
sgg-PJ	1728	1595.59	0	0
sgg-PG	1491	1358.59	216.774	1.07954
sgg-PK	1251	1118.59	0.200932	0.00121534
sgg-PB	1545	1412.59	120.647	0.577855
sgg-PA	1728	1595.59	0	0
sgg-PE	1545	1412.59	120.647	0.577855
sgg-PF	1545	1412.59	120.647	0.577855
sgg-PC	1545	1412.59	120.647	0.577855
sgg-PM	2319	2186.59	302.758	0.936805
sgg-PN	1251	1118.59	0.200932	0.00121534
sgg-PO	1326	1193.59	0	0
sgg-PP	3381	3248.59	261.334	0.544279
sgg-PQ	3507	3374.59	0	0
sgg-PR	1794	1661.59	53.9615	0.219726
per-PA	3657	3524.59	86	0.165086
per-PB	3657	3524.59	86	0.165086
CG2662-PA	1341	1208.59	26	0.145551
CG2662-PB	1341	1208.59	26	0.145551
eIF2Bbeta-PA	1059	926.595	824	6.01671
CG2681-PA	1881	1748.59	4	0.0154772
CG2694-PA	2478	2345.59	0.0553939	0.000159783
CG2694-PB	2022	1889.59	86.7736	0.3107
CG2694-PD	2469	2336.59	5.17097	0.0149731
fs(1)Yb-PA	3129	2996.59	1	0.00225784
fs(1)Ya-PA	2091	1958.59	4	0.0138177
dwg-PA	1779	1646.59	149	0.612239
CG2712-PA	1506	1373.59	107	0.527044
CG12498-PA	786	653.595	0	0
w-PA	2064	1931.59	3	0.0105082
CG32795-PA	1164	1031.59	102.2	0.670291
CG32795-PB	1164	1031.59	102.2	0.670291
CG32795-PC	1164	1031.59	102.2	0.670291
CG32795-PD	1164	1031.59	102.2	0.670291
CG32795-PE	1164	1031.59	102.2	0.670291
Syx4-PA	1002	869.595	11	0.085585
Syx4-PB	774	641.595	0	0
crm-PB	2949	2816.59	72.5	0.174155
crm-PA	2949	2816.59	72.5	0.174155
CG2701-PA	2208	2075.59	1008	3.28579
CG2685-PA	1659	1526.59	335	1.48471
CG2680-PB	918	785.595	0	0
Ugalt-PA	1074	941.595	1182.8	8.499
Ugalt-PB	1107	974.595	246.406	1.7106
Ugalt-PC	1074	941.595	1182.8	8.499
Spg7-PA	2460	2327.59	149.5	0.434566
Spg7-PC	2460	2327.59	149.5	0.434566
dyw-PA	783	650.595	1	0.0103995
CG2652-PA	708	575.595	0	0
HLH3B-PA	1131	998.595	0	0
N-PA	8112	7979.59	3	0.00254368
N-PB	8112	7979.59	3	0.00254368
CG3939-PA	408	275.623	83	2.03744
CG3939-PB	408	275.623	83	2.03744
dnc-PA	2106	1973.59	0	0
dnc-PE	1929	1796.59	0	0
dnc-PN	2952	2819.59	74.3293	0.178359
dnc-PG	2445	2312.59	0	0
dnc-PF	1989	1856.59	4.98032	0.0181494
dnc-PL	1566	1433.59	0	0
dnc-PB	3630	3497.59	30.1294	0.058283
dnc-PI	3213	3080.59	0	0
dnc-PC	3174	3041.59	0	0
dnc-PJ	3213	3080.59	0	0
dnc-PD	3207	3074.59	52.566	0.115675
dnc-PP	1929	1796.59	0	0
dnc-PQ	2112	1979.59	4.43282	0.0151504
dnc-PR	2112	1979.59	4.43282	0.0151504
dnc-PS	3630	3497.59	30.1294	0.058283
dnc-PT	2148	2015.59	0	0
dnc-PU	2148	2015.59	0	0
ng1-PA	324	192.206	0	0
Sgs4-PC	864	731.595	0	0
CG10801-PA	1677	1544.59	0	0
CG10801-PB	1584	1451.59	2	0.00932194
CG12206-PA	1749	1616.59	0.333333	0.00139508
CG12206-PB	1749	1616.59	0.333333	0.00139508
CG12206-PC	1749	1616.59	0.333333	0.00139508
CG16781-PA	1152	1019.59	0.999969	0.00663561
CG16781-PB	1161	1028.59	3.1352e-05	2.06225e-07
CG16782-PA	603	470.595	4	0.0575089
CG14269-PA	573	440.595	0	0
CG14269-PB	573	440.595	0	0
CG12535-PB	618	485.595	2	0.0278662
CG12535-PF	618	485.595	2	0.0278662
CG12535-PC	618	485.595	2	0.0278662
CG12535-PD	618	485.595	2	0.0278662
CG12535-PE	618	485.595	2	0.0278662
CG10793-PA	1440	1307.59	0	0
Pig1-PB	519	386.595	0	0
ng4-PA	174	54.1548	0	0
ng3-PB	441	308.595	0	0
ng2-PA	339	207.067	0	0
CG14265-PB	360	227.721	0	0
Fcp3C-PA	849	716.595	13	0.122742
CG18508-PA	300	168.587	198.5	7.9663
CG18508-PB	300	168.587	198.5	7.9663
CG3526-PA	690	557.595	0	0
CG3526-PC	666	533.595	0	0
CG32793-PA	2481	2348.59	0	0
CG3592-PA	750	617.595	0	0
CG3598-PA	819	686.595	0	0
CG14420-PA	882	749.595	1	0.009026
CG14421-PA	717	584.595	1	0.0115736
CG14422-PA	885	752.595	0	0
CG14423-PA	918	785.595	2	0.0172248
CG17959-PA	447	314.595	0	0
CG3603-PA	750	617.595	110	1.20507
CG3603-PB	750	617.595	110	1.20507
kirre-PB	2871	2738.59	1.57143	0.0038823
kirre-PA	2871	2738.59	1.57143	0.0038823
kirre-PC	2871	2738.59	1.57143	0.0038823
kirre-PD	2871	2738.59	1.57143	0.0038823
kirre-PE	2871	2738.59	1.57143	0.0038823
kirre-PF	2871	2738.59	1.57143	0.0038823
kirre-PG	2871	2738.59	1.57143	0.0038823
CG4116-PA	795	662.595	0	0
CG4116-PB	702	569.595	0	0
rst-PA	2295	2162.59	4	0.0125143
rst-PB	2295	2162.59	4	0.0125143
CG14424-PA	792	659.595	0	0
CG14419-PA	588	455.595	5	0.0742529
CG14418-PA	984	851.595	0	0
CG14418-PB	855	722.595	1	0.00936326
CG14417-PA	993	860.595	0	0
CG14416-PA	777	644.595	0	0
CG10802-PA	1311	1178.59	474.714	2.72514
CG10802-PB	1239	1106.59	9.28574	0.056774
CG10803-PA	1914	1781.59	9.79328	0.0371913
CG10803-PB	1725	1592.59	0	0
CG10803-PC	1725	1592.59	0	0
CG10803-PD	1725	1592.59	0	0
