"lara10.tsv"	"sim116.tsv"	"tai18.tsv"	"w501_LB.tsv"	"class"	"max"
"G7631"	0.100741	0	2.35804	0	"UA"	2.35804
"G783"	0.0743775	0.0988627	17.594	0	"UA"	17.594
"G7835"	1.7345948	0	0	9.29566632	"UA"	9.29566632
"G8095"	13.395942	18.39364	0	65.147743	"UA"	65.147743
"G816"	0.359987	0.932851	34.4857	0	"UA"	34.4857
"G8203"	0.188812	0.608871	14.7307	0.604075	"UA"	14.7307
"G8267"	12.2754	46.0047	0	54.2156	"UA"	54.2156
"G8433"	4.02931	1.769993	0	1.5028002	"UA"	4.02931
"G8435"	0	0	2.98576	0	"UA"	2.98576
"G8752"	0	0.516498	83.7547	0.494732	"UA"	83.7547
"G9031"	0.561795	0.181525	19.706	1.60386	"UA"	19.706
"G9041"	0.137472	0	19.2895	1.04551	"UA"	19.2895
"G9065"	0.353176	2.66798	0	0.168181	"UA"	2.66798
"G9116"	3.574539	0.0617936	2.208772	7.721182	"UA"	7.721182
"G9199"	0.0634946	0.134641	7.94158	0	"UA"	7.94158
"G9200"	0	0.221712	6.47024	0.470745	"UA"	6.47024
"G9266"	0	0.13538	2.13598	0	"UA"	2.13598
"G9268"	9.51387	47.4286	1.0981	168.029	"UA"	168.029
"G9271"	0.0609315	0.0587382	0.950423	0.0414766	"UA"	0.950423
"G9398"	0.818184	0	1.04788	0	"UA"	1.04788
"G9432"	0.95804	1.03796	0	0	"UA"	1.03796
"G9475"	2.51951	1.29895	3.59956	8.73811	"UA"	8.73811
"G9493"	0.06601186	0.0465449	0.550295	0.0268334	"UA"	0.550295
"G9498"	1.24475	0.87939	26.3934	3.28695	"UA"	26.3934
"G9561"	0.389839	0.508934	0	2.59	"UA"	2.59
"G9724"	0	0.0849624	2.52193	0	"UA"	2.52193
"G9826"	0.169022	1.11296	0	0.966484	"UA"	1.11296
"G986"	0.604104	1.529844	32.49522	10.25456	"UA"	32.49522
"G998"	0	0	5.56866	0.211046	"UA"	5.56866
"G10219"	0	0	0	0	"DN"	0
"G10501"	0	0.0906255	0	0.130391	"DN"	0.130391
"G10686"	0.0830024	0	0	0	"DN"	0.0830024
"G10904"	0	0	0	0	"DN"	0
"G11129"	0	0	0	0	"DN"	0
"G11140"	0.0660936	0	0	0.12748	"DN"	0.12748
"G11227"	0.0126455	0	0	0	"DN"	0.0126455
"G11228"	0	0	0	0.0183071	"DN"	0.0183071
"G1257"	0	0	0	0	"DN"	0
"G1263"	0	0	0	0	"DN"	0
"G1353"	0	0	0	0	"DN"	0
"G1424"	0	0	0	0	"DN"	0
"G1453"	0	0	0	0	"DN"	0
"G1454"	0	0	0	0	"DN"	0
"G1612"	0	0.101613	0	0.146648	"DN"	0.146648
"G1614"	0	0	0	0	"DN"	0
"G1720"	0	0	0	0.167581	"DN"	0.167581
"G1724"	0	0.0616805	0	0.132533	"DN"	0.132533
"G1769"	0	0.101962	0.121229	0	"DN"	0.121229
"G1995"	0	0	0	0	"DN"	0
"G2028"	0	0	0	0	"DN"	0
"G2254"	0	0	0	0	"DN"	0
"G2352"	0	0	0	0	"DN"	0
"G2356"	0	0	0	0	"DN"	0
"G2358"	0	0	0	0	"DN"	0
"G2371"	0	0	0	0	"DN"	0
"G2373"	0	0	0	0	"DN"	0
"G2496"	0	0	0	0	"DN"	0
"G2582"	0	0	0	0	"DN"	0
"G2628"	0	0	0	0	"DN"	0
"G2630"	0	0	0	0	"DN"	0
"G2787"	0	0	0	0	"DN"	0
"G2893"	0	0	0.114936	0.0378664	"DN"	0.114936
"G2987"	0	0	0	0	"DN"	0
"G3113"	0	0	0	0	"DN"	0
"G3298"	0	0	0	0	"DN"	0
"G3510"	0	0	0	0	"DN"	0
"G3660"	0	0	0	0	"DN"	0
"G3710"	0	0	0	0	"DN"	0
"G3716"	0	0	0	0	"DN"	0
"G3740"	0	0	0	0	"DN"	0
"G3834"	0	0	0	0	"DN"	0
"G396"	0	0	0	0	"DN"	0
"G4139"	0	0	0	0	"DN"	0
"G4151"	0	0	0	0	"DN"	0
"G4283"	0	0.0255716	0	0.0721446	"DN"	0.0721446
"G4450"	0	0	0	0	"DN"	0
"G5122"	0	0	0	0	"DN"	0
"G5298"	0	0	0	0	"DN"	0
"G5515"	0	0	0	0.0678413	"DN"	0.0678413
"G5566"	0	0.0396939	0.0930078	0	"DN"	0.0930078
"G5584"	0	0	0	0	"DN"	0
"G5698"	0	0	0.0524474	0	"DN"	0.0524474
"G5776"	0	0	0	0	"DN"	0
"G5888"	0.0319818	0	0	0	"DN"	0.0319818
"G5889"	0	0	0	0.149025	"DN"	0.149025
"G5907"	0	0	0	0	"DN"	0
"G5916"	0	0	0	0	"DN"	0
"G5968"	0	0	0	0	"DN"	0
"G6049"	0	0	0	0	"DN"	0
"G6089"	0	0.165063	0	0	"DN"	0.165063
"G6346"	0	0.0767672	0	0.109984	"DN"	0.109984
"G6709"	0	0.12247	0	0.177903	"DN"	0.177903
"G6725"	0.162877	0	0	0	"DN"	0.162877
"G7024"	0	0	0	0	"DN"	0
"G7060"	0.175266	0	0	0	"DN"	0.175266
"G7061"	0	0	0	0	"DN"	0
"G7216"	0.107984	0	0	0	"DN"	0.107984
"G7783"	0	0	0	0	"DN"	0
"G7846"	0	0	0	0	"DN"	0
"G7889"	0.189786	0	0	0	"DN"	0.189786
"G7922"	0	0	0	0	"DN"	0
"G8023"	0	0	0	0	"DN"	0
"G8096"	0	0.0676901	0	0	"DN"	0.0676901
"G8144"	0	0	0	0	"DN"	0
"G8257"	0	0	0	0	"DN"	0
"G8264"	0	0	0	0	"DN"	0
"G828"	0	0.1553618918	0	0	"DN"	0.1553618918
"G8471"	0	0	0	0	"DN"	0
"G8473"	0.0916933	0.0632305	0	0	"DN"	0.0916933
"G8601"	0	0	0	0	"DN"	0
"G9002"	0	0	0	0	"DN"	0
"G9042"	0	0	0	0	"DN"	0
"G9252"	0.0198632	0	0	0	"DN"	0.0198632
"G9260"	0	0	0	0	"DN"	0
"G9445"	0	0	0	0.080659	"DN"	0.080659
"G9480"	0	0	0	0	"DN"	0
"G9490"	0	0	0	0	"DN"	0
"G9500"	0	0	0	0	"DN"	0
"G9501"	0	0	0	0.0929715	"DN"	0.0929715
